confidence,predicted label,true label,correct
100,3,3,True
100,70000,70000,True
100,540,540,True
100,20,20,True
95,64,64,True
100,260,260,True
100,160,160,True
90,315,45,False
100,460,460,True
100,366,366,True
90,8328,694,False
90,12,13,False
90,20,18,False
90,60,60,True
90,130,125,False
100,230,230,True
90,57500,57500,True
100,7,7,True
100,6,6,True
95,14,15,False
100,14,14,True
100,7,7,True
100,8,8,True
90,26,26,True
100,2,2,True
100,405,243,False
90,16,16,True
100,25,25,True
95,71,104,False
90,109,109,True
