confidence,predicted label,ground truth,correct
0.9,600,10,False
0.85,115,5,False
0.9,42,42,True
0.9,312,624,False
0.9,48,48,True
0.9,14,16,False
0.8,900,990,False
0.9,1724,121,False
0.8,16,5,False
0.95,90,85,False
0.9,10,35,False
0.95,48,5,False
0.8,500,448000,False
0.9,22,43,False
0.9,8,16,False
0.95,5,16,False
0.9,306,1080,False
0.8,95,5,False
0.8,62,62,True
0.9,67,110,False
0.8,1800,400,False
0.95,440,400,False
0.9,8,8,True
0.8,6,1000,False
0.9,30,6,False
0.9,1,1200,False
0.9,9,10,False
0.95,95,34,False
0.9,5250,5250,True
0.8,36,36,True
0.9,30,15,False
0.95,72,9,False
0.95,3,15,False
0.9,492,476,False
0.9,500,500,True
0.95,135,99,False
0.9,30,60,False
0.8,400,300,False
0.9,99,99,True
0.9,480,1920,False
0.95,1690,15,False
0.95,4,10,False
0.9,12,48,False
0.8,60,5,False
0.9,32,160,False
0.9,10,5,False
0.9,36,36,True
0.95,25,11,False
0.9,75,75,True
0.9,10,2,False
0.9,60,320,False
0.95,35,120,False
0.9,48,96,False
0.9,750,200,False
0.9,210,15,False
0.8,11,59,False
0.95,720,840,False
0.8,43,558,False
0.85,3740,520,False
0.85,130,90,False
0.95,49,49,True
0.9,40,19,False
0.9,25,25,True
0.9,240,54,False
0.9,3,3,True
0.85,83,28,False
0.9,8,15,False
0.9,768,768,True
0.85,85,85,True
0.9,3,4,False
0.8,25,70,False
0.9,300,100,False
0.85,12,14,False
0.95,20,700,False
0.9,22,54,False
0.95,362,90,False
0.9,7,5,False
0.95,92,6,False
0.95,258,258,True
0.8,280,216,False
0.9,90,90,True
0.8,768,10,False
0.9,1825,1825,True
0.95,14,14000,False
0.9,60,60,True
0.95,5,64,False
0.85,127,126,False
0.95,31,46,False
0.85,12,45,False
0.9,90,3,False
0.85,15,15,True
0.95,4,36,False
0.95,25,25,True
0.8,120,258,False
0.9,24,96,False
0.9,180,320,False
0.9,80,50,False
0.8,87,97,False
0.9,15,41,False
0.9,25,20,False
0.9,6,140,False
0.8,4,6,False
0.9,720,920,False
0.9,10,60,False
0.95,31,15,False
0.9,3,4000,False
0.8,13,21,False
0.95,18,16,False
0.95,7,13,False
0.95,140,140,True
0.85,800,720,False
0.9,1,48,False
0.8,0,25,False
0.9,4,18,False
0.9,42,50,False
0.9,25,25,True
0.9,66,55,False
0.9,30,10,False
0.9,480,500,False
0.95,110,110,True
0.95,20,9,False
0.9,178,74,False
0.95,9400,2350,False
0.9,720,20,False
0.9,8,6,False
0.8,9,8,False
0.8,24,24,True
0.9,75,72,False
0.95,95,30,False
0.8,9,45,False
0.8,6,8,False
0.9,130,2,False
0.95,29,136,False
0.9,2,9,False
0.8,45,35,False
0.95,15,4,False
0.9,204,3,False
0.8,61,283,False
0.9,44,44,True
0.9,285,135,False
0.9,880,720,False
0.8,200,160,False
0.9,21,21,True
0.85,85,10,False
0.9,112,6,False
0.9,27,27,True
0.9,175,295,False
0.8,4,4,True
0.85,2,2290,False
