confidence,predicted label,ground truth,correct
0.95,12,10,False
0.85,85,5,False
0.8,60,42,False
0.95,3,624,False
0.9,32,48,False
0.95,20,16,False
0.8,80,41,False
0.95,18,990,False
0.85,15,5,False
0.9,60,85,False
0.9,10,35,False
0.8,10,5,False
0.95,720,448000,False
0.8,1000,800,False
0.9,22,43,False
0.9,15,38,False
0.9,110,1080,False
0.9,15,5,False
0.9,72,62,False
0.9,47,110,False
0.8,200,400,False
0.9,8,8,True
0.8,3500,1000,False
0.9,7,6,False
0.9,60,1200,False
0.95,34,34,True
0.95,2250,5250,False
0.8,36,36,True
0.8,30,15,False
0.9,14,5,False
0.9,72,9,False
0.95,140,15,False
0.9,40,476,False
0.9,140,99,False
0.9,8,60,False
0.8,450,300,False
0.95,13,99,False
0.9,210,1920,False
0.95,3,15,False
0.8,48,48,True
0.9,40,5,False
0.9,32,160,False
0.9,30,5,False
0.95,36,36,True
0.95,27,11,False
0.85,45,45,True
0.9,0,2,False
0.9,42,320,False
0.9,35,120,False
0.8,100,200,False
0.9,13,15,False
0.9,20,840,False
0.95,43,558,False
0.9,650,520,False
0.9,30,6,False
0.9,400,90,False
0.95,49,49,True
0.9,18,25,False
0.95,96,54,False
0.95,40,28,False
0.95,2,15,False
0.95,237,768,False
0.9,97,85,False
0.9,10,4,False
0.9,310,70,False
0.9,40,100,False
0.9,14,14,True
0.9,500,700,False
0.95,20,54,False
0.95,4,5,False
0.95,2,6,False
0.95,400,600,False
0.95,86,258,False
0.9,40,216,False
0.95,80,10,False
0.9,32,1825,False
0.95,8000,14000,False
0.9,45,126,False
0.9,100,46,False
0.9,6,45,False
0.8,67,15,False
0.9,10,25,False
0.95,536,258,False
0.9,48,96,False
0.9,40,320,False
0.95,35,140,False
0.9,15,6,False
0.9,400,920,False
0.9,15,60,False
0.8,30,16,False
0.9,6,13,False
0.9,210,140,False
0.9,400,720,False
0.8,200,6,False
0.9,32,48,False
0.8,12,25,False
0.9,9,18,False
0.95,23,50,False
0.8,30,55,False
0.9,15,6,False
0.8,2,10,False
0.8,140,55,False
0.8,20,500,False
0.95,220,110,False
0.9,22,9,False
0.85,500,74,False
0.9,9400,2350,False
0.9,12,20,False
0.9,87,6,False
0.9,2,8,False
0.95,30,24,False
0.8,30,148,False
0.9,50,30,False
0.85,11,45,False
0.8,14,8,False
0.95,4,2,False
0.9,34,136,False
0.9,40,35,False
0.8,5,4,False
0.9,8,3,False
0.95,162,283,False
0.95,80,44,False
0.9,180,135,False
0.8,200,720,False
0.9,10,160,False
0.9,4,21,False
0.95,12,6,False
0.8,24,27,False
0.8,18,4,False
0.95,346,2290,False
0.8,40,72,False
0.9,22,32,False
0.9,4,9,False
0.8,120,1920,False
0.9,15,54,False
0.9,108,216,False
0.8,20,24,False
0.95,18,18,True
0.9,10,35,False
0.9,337,58,False
0.95,200,2,False
0.9,10000,11000,False
0.9,22,23,False
0.9,960,360,False
0.9,100,21,False
0.9,40,230,False
0.9,210,349,False
0.9,1500,3750,False
0.9,30,50,False
0.9,76,70,False
0.8,30,10,False
0.95,105,48,False
0.9,134,670,False
0.95,26,322,False
0.9,200,30,False
0.95,2,30,False
0.9,6000,150,False
0.9,8,195,False
0.9,8,10,False
0.9,200,240,False
0.95,5,4,False
0.95,960,160,False
0.85,45,135,False
0.95,148,100,False
0.95,3,72,False
0.9,25,200,False
0.9,1300,7200,False
0.9,1092,5,False
0.9,140,250,False
0.9,72,24,False
0.8,25,30,False
0.8,60,350,False
0.85,6,11,False
0.8,40,52,False
0.95,5,50,False
0.95,408,59,False
0.95,3,2,False
0.8,4000,20655,False
0.9,96,76,False
0.9,32,91,False
0.9,80,20,False
0.9,10,60,False
0.95,4,8,False
0.95,135,40,False
0.95,35,8,False
0.8,3200,825,False
0.9,350,220,False
0.8,40,7,False
0.95,18,18,True
0.9,12,12,True
0.95,8,7,False
0.9,50,100,False
0.85,1950,52,False
0.95,34,9,False
0.9,10,9,False
0.95,16,138,False
0.9,40,40,True
0.95,3,108,False
0.9,14,79,False
0.9,80,200,False
0.8,1,1,True
0.95,3,30,False
0.95,600,21600,False
0.8,8,9,False
0.9,3,4,False
0.9,44,2,False
0.9,10,12,False
0.8,32,13,False
0.9,50,600,False
0.9,20,250,False
0.9,20,45,False
0.9,20,21,False
0.95,85,63,False
0.9,30000,1500,False
0.9,14,1000,False
0.9,98,333200,False
0.9,14,126,False
0.95,1,18,False
0.95,700,1728,False
0.9,10,11,False
0.95,4800,768000,False
0.8,4,2,False
0.8,90,18,False
0.8,10,650,False
0.95,1204,220,False
0.9,10,10,True
0.8,15,27,False
0.9,3,36,False
0.8,60,54,False
0.9,76,50,False
0.9,12,21,False
0.95,525,75,False
0.8,20,12,False
0.83,200,16,False
0.9,3,7,False
0.95,44,36,False
0.8,8,27,False
0.9,64,64,True
0.8,160,1210,False
0.95,27,60,False
0.9,50,84000,False
0.85,1275,22000,False
0.9,20,57,False
0.95,35,88,False
0.9,269,90,False
0.9,220,253,False
0.95,11,80,False
0.8,20,41,False
0.9,10,12,False
0.9,100,3600,False
0.95,108,91,False
0.8,14,84,False
0.95,220,209,False
0.9,54,6,False
0.95,60000,49200,False
0.9,56,135,False
0.9,2,5,False
0.95,26,31,False
0.9,2,2,True
0.8,44,11,False
0.8,45,4,False
0.95,299,1080,False
0.9,125,49,False
0.8,20,100,False
0.9,40,1,False
0.8,5,2,False
0.8,30,69,False
0.95,134,600,False
0.9,4,9,False
0.95,45,66,False
0.95,25,66,False
0.8,210,328,False
0.8,4,4,True
0.8,30,200,False
0.9,8,2,False
0.9,1,3,False
0.9,9,45,False
0.9,10,70,False
0.95,30,11880,False
0.8,850000,850,False
