confidence,predicted label,true label,correct
70,A,C,False
100,D,D,True
95,D,D,True
100,A,A,True
95,C,C,True
95,E,E,True
95,E,E,True
99,A,A,True
95,D,D,True
90,C,D,False
95,B,B,True
90,D,A,False
60,A,A,True
100,E,E,True
95,B,B,True
95,B,B,True
90,D,D,True
90,A,E,False
100,E,C,False
95,B,D,False
100,C,C,True
90,C,C,True
95,C,C,True
90,A,A,True
60,A,C,False
85,C,C,True
90,B,B,True
95,B,B,True
100,D,D,True
95,B,B,True
90,A,E,False
95,B,B,True
95,A,A,True
95,D,D,True
95,D,D,True
95,C,C,True
95,C,C,True
95,A,A,True
95,D,E,False
80,A,A,True
95,E,E,True
100,D,D,True
100,E,E,True
95,C,C,True
95,A,A,True
95,D,C,False
95,D,E,False
95,B,B,True
95,E,C,False
90,B,B,True
95,C,C,True
90,C,C,True
95,B,B,True
95,C,C,True
90,B,C,False
95,A,A,True
100,E,E,True
95,D,D,True
90,B,E,False
90,A,A,True
95,C,E,False
95,A,A,True
90,D,A,False
90,B,B,True
95,B,B,True
90,B,B,True
95,A,A,True
90,C,C,True
95,E,E,True
95,A,A,True
90,C,C,True
95,C,C,True
80,B,B,True
95,C,C,True
95,B,B,True
95,C,B,False
95,A,A,True
95,B,B,True
100,D,D,True
95,C,C,True
95,E,E,True
95,B,B,True
95,C,C,True
95,B,B,True
90,B,B,True
90,B,E,False
95,C,C,True
80,A,A,True
100,E,E,True
90,B,A,False
95,A,A,True
95,A,A,True
95,D,D,True
90,D,D,True
95,E,E,True
100,C,C,True
95,E,E,True
90,C,D,False
95,B,B,True
90,B,B,True
95,D,D,True
95,C,C,True
100,B,B,True
95,E,E,True
95,B,B,True
95,B,D,False
95,E,B,False
99,E,E,True
95,E,E,True
95,E,D,False
95,D,D,True
90,E,D,False
90,B,C,False
100,C,E,False
95,A,A,True
90,A,A,True
95,A,A,True
95,D,D,True
95,D,D,True
90,B,B,True
95,D,D,True
100,D,B,False
95,C,C,True
95,B,D,False
95,C,C,True
95,C,C,True
100,C,C,True
95,B,B,True
90,E,A,False
90,D,D,True
95,C,C,True
90,C,C,True
95,B,D,False
95,D,D,True
90,D,D,True
90,B,B,True
90,B,B,True
90,C,C,True
98,E,E,True
95,D,D,True
95,C,B,False
95,A,A,True
95,A,A,True
95,D,E,False
95,A,A,True
95,C,D,False
95,B,B,True
95,C,C,True
95,A,A,True
90,C,E,False
95,E,E,True
90,D,D,True
100,B,B,True
95,C,A,False
95,A,A,True
80,C,E,False
90,C,C,True
90,B,A,False
100,E,E,True
90,B,B,True
95,E,E,True
100,E,A,False
95,B,B,True
95,B,E,False
95,A,A,True
95,A,A,True
95,C,C,True
95,E,E,True
95,C,A,False
100,D,D,True
100,A,A,True
95,C,C,True
95,E,E,True
99,A,A,True
95,D,C,False
95,E,B,False
95,B,B,True
100,E,C,False
95,E,A,False
65,C,C,True
95,B,B,True
90,B,D,False
95,A,A,True
95,C,C,True
90,A,A,True
90,C,C,True
100,D,D,True
90,D,B,False
95,C,C,True
90,A,A,True
95,D,D,True
95,C,C,True
90,C,C,True
95,B,B,True
95,A,A,True
95,A,A,True
95,B,B,True
95,B,B,True
95,C,A,False
95,B,B,True
95,D,D,True
95,B,B,True
95,C,C,True
95,A,A,True
95,E,E,True
100,B,B,True
95,B,B,True
95,E,E,True
90,A,A,True
95,C,B,False
0,B,B,True
100,A,D,False
95,C,C,True
90,C,C,True
95,A,A,True
95,A,D,False
95,B,B,True
95,C,C,True
80,C,C,True
90,A,A,True
95,C,C,True
85,E,D,False
95,A,A,True
95,D,D,True
95,A,B,False
90,A,C,False
90,E,A,False
85,A,A,True
95,E,E,True
95,E,E,True
95,D,D,True
80,B,B,True
90,C,C,True
95,C,C,True
90,E,A,False
90,C,C,True
95,E,A,False
90,A,A,True
100,E,C,False
90,E,E,True
100,E,E,True
90,C,C,True
95,E,E,True
95,B,B,True
100,D,D,True
95,A,A,True
95,A,A,True
100,E,E,True
95,B,C,False
95,C,C,True
70,A,A,True
95,B,B,True
95,B,B,True
95,D,E,False
95,C,C,True
95,C,C,True
95,D,A,False
100,E,E,True
90,B,B,True
95,D,D,True
90,C,C,True
90,B,B,True
100,D,B,False
95,A,A,True
90,A,E,False
95,B,B,True
95,E,E,True
95,E,C,False
95,E,E,True
90,A,A,True
95,C,A,False
85,B,B,True
95,D,B,False
90,C,C,True
95,E,E,True
95,D,D,True
90,E,E,True
95,B,B,True
90,C,C,True
95,D,C,False
95,D,D,True
95,E,E,True
95,C,A,False
100,C,C,True
95,E,E,True
90,E,E,True
95,D,D,True
75,B,B,True
95,A,A,True
75,B,B,True
95,D,D,True
95,E,E,True
95,A,A,True
100,C,C,True
100,B,B,True
95,B,B,True
95,A,A,True
95,D,D,True
95,C,C,True
75,D,C,False
95,B,A,False
95,E,D,False
90,B,B,True
95,A,A,True
95,D,A,False
90,A,A,True
10,A,A,True
90,A,A,True
95,E,B,False
95,D,D,True
95,D,C,False
95,A,A,True
95,E,E,True
95,D,D,True
95,E,E,True
95,E,E,True
95,A,E,False
95,E,E,True
85,D,E,False
100,C,C,True
95,D,D,True
95,B,B,True
95,B,B,True
90,A,C,False
95,C,A,False
95,B,B,True
95,E,A,False
95,D,E,False
95,D,C,False
95,D,D,True
90,D,D,True
95,B,A,False
95,E,A,False
95,C,A,False
90,B,A,False
90,B,D,False
100,E,E,True
90,A,E,False
95,A,A,True
90,D,D,True
95,E,E,True
95,A,A,True
70,C,C,True
95,A,A,True
95,C,C,True
95,C,D,False
95,E,E,True
95,C,C,True
95,C,C,True
95,C,C,True
100,B,B,True
95,A,E,False
100,E,E,True
90,A,A,True
95,A,A,True
100,E,E,True
