index,question,answer,provided answer,expected true answer,response details
5,"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","  The final answer is:

With a confidence level of 80%

Mark has 80 flowers in his garden.","The final answer is:

With a confidence level of 80%

Mark has 80 flowers in his garden.",35,"{""final answer"": null, ""confidence"": ""80""}"
10,"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?","  The final answer is:

With a confidence level of 90%

The monster ate 423 people in the first hundred years.","The final answer is:

With a confidence level of 90%

The monster ate 423 people in the first hundred years.",121,"{""final answer"": null, ""confidence"": ""90""}"
19,Tim rides his bike back and forth to work for each of his 5 workdays.  His work is 20 miles away.  He also goes for a weekend bike ride of 200 miles.    If he can bike at 25 mph how much time does he spend biking a week?,"  The final answer is:

With a confidence level of 90%

Tim spends a total of 8 hours per week biking.","The final answer is:

With a confidence level of 90%

Tim spends a total of 8 hours per week biking.",16,"{""final answer"": null, ""confidence"": ""90""}"
22,"Samantha’s last name has three fewer letters than Bobbie’s last name. If Bobbie took two letters off her last name, she would have a last name twice the length of Jamie’s. Jamie’s full name is Jamie Grey. How many letters are in Samantha’s last name?","  The final answer is:

With a confidence level of 90%","The final answer is:

With a confidence level of 90%",7,"{""final answer"": null, ""confidence"": ""90""}"
27,"Brennan was researching his school project and had to download files from the internet to his computer to use for reference. After downloading 800 files, he deleted 70% of them because they were not helpful. He downloaded 400 more files but again realized that 3/5 of them were irrelevant. How many valuable files was he left with after deleting the unrelated files he downloaded in the second round?","  The final answer is:

With a confidence level of 90%

After deleting the unrelated files in the second round, Brennan was left with 200 valuable files.","The final answer is:

With a confidence level of 90%

After deleting the unrelated files in the second round, Brennan was left with 200 valuable files.",400,"{""final answer"": null, ""confidence"": ""90""}"
41,Rachel and Sara want to attend a beauty and modeling contest. They both want to buy new pairs of shoes and dresses. Sara buys a pair of shoes which costs $50 and a dress which costs $200. How much should Rachel budget if she wants to spend twice as much as what Sara spent on the pair of shoes and dress?,"  The final answer is:

Rachel should budget $100 for the pair of shoes and dress.

With a confidence level of 80%","The final answer is:

Rachel should budget $100 for the pair of shoes and dress.

With a confidence level of 80%",500,"{""final answer"": null, ""confidence"": ""80""}"
48,"Sam memorized six more digits of pi than Carlos memorized. Mina memorized six times as many digits of pi as Carlos memorized. If Mina memorized 24 digits of pi, how many digits did Sam memorize?","  The final answer is:

Sam memorized 12 digits of pi.

With a confidence level of 90% (i.e., 90-100%).","The final answer is:

Sam memorized 12 digits of pi.

With a confidence level of 90% (i.e., 90-100%).",10,"{""final answer"": null, ""confidence"": ""90""}"
63,"Shawna's workout goal is 30 situps. On Monday, Shawna was only able to do 12 situps, so she decided that she would make up for the rest on Tuesday. However, she was only able to do 19 situps on Tuesday. How many situps would Shawna have to do on Wednesday to meet her minimum goal and make up for the ones she didn't do?","  The final answer is:

With a confidence level of 80%

Shawna needs to do 9 situps on Wednesday to meet her minimum goal and make up for the ones she didn't do on Monday and Tuesday.","The final answer is:

With a confidence level of 80%

Shawna needs to do 9 situps on Wednesday to meet her minimum goal and make up for the ones she didn't do on Monday and Tuesday.",59,"{""final answer"": null, ""confidence"": ""80""}"
90,"Herman likes to feed the birds in December, January and February.  He feeds them 1/2 cup in the morning and 1/2 cup in the afternoon.  How many cups of food will he need for all three months?","  The final answer is:

With a confidence level of 90%

Herman will need 3 cups of food for all three months (December, January, and February).","The final answer is:

With a confidence level of 90%

Herman will need 3 cups of food for all three months (December, January, and February).",90,"{""final answer"": null, ""confidence"": ""90""}"
94,John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each?,"  The final answer is:

With a confidence level of 90%

It will take John 75 days to write 3 books that are 400 pages each.","The final answer is:

With a confidence level of 90%

It will take John 75 days to write 3 books that are 400 pages each.",60,"{""final answer"": null, ""confidence"": ""90""}"
95,"Alice has 20 quarters. She wants to exchange them for nickels and so she goes to the bank. After getting back from the bank, she discovers that 20% of the nickels are iron nickels worth $3 each. What is the total value of her money now?","  The final answer is:

With a confidence level of 90%

Alice has $60 in total value of her money now.","The final answer is:

With a confidence level of 90%

Alice has $60 in total value of her money now.",64,"{""final answer"": null, ""confidence"": ""90""}"
99,"Gail has two fish tanks. The first tank is twice the size of the second tank. There are 48 gallons of water in the first tank. She follows the rule of one gallon of water per inch of fish. If she keeps two-inch fish in the second tank and three-inch fish in the first tank, how many more fish would Gail have in the first tank than the second tank if one of the first tank fish eats another?","  The final answer is:

With a confidence level of 90%

Gail would have 32 more fish in the first tank than in the second tank if one of the first tank fish eats another.","The final answer is:

With a confidence level of 90%

Gail would have 32 more fish in the first tank than in the second tank if one of the first tank fish eats another.",3,"{""final answer"": null, ""confidence"": ""90""}"
101,"Marcy is a makeup artist and has agreed to do some makeup for her friend's wedding. The only makeup she has limited stock of is lip gloss so she counts how many tubes she needs. Each tube of lip gloss will hold enough lip gloss for 3 people's makeup. Marcy decides to bring 6 tubs of lip gloss, each of which holds 2 tubes of lip gloss, and this will be the exact amount she needs for everyone's makeup. How many people is Marcy painting with makeup?","  The final answer is:

With a confidence level of 90%

Marcy is painting 20 people with makeup.","The final answer is:

With a confidence level of 90%

Marcy is painting 20 people with makeup.",36,"{""final answer"": null, ""confidence"": ""90""}"
106,John buys 10 packs of magic cards.  Each pack has 20 cards and 1/4 of those cards are uncommon.  How many uncommon cards did he get?,"  The final answer is:

With a confidence level of 90%","The final answer is:

With a confidence level of 90%",50,"{""final answer"": null, ""confidence"": ""90""}"
107,"There is very little car traffic on Happy Street. During the week, most cars pass it on Tuesday - 25. On Monday, 20% less than on Tuesday, and on Wednesday, 2 more cars than on Monday. On Thursday and Friday, it is about 10 cars each day. On the weekend, traffic drops to 5 cars per day. How many cars travel down Happy Street from Monday through Sunday?","  The final answer is:

With a confidence level of 90%

Monday: 20 cars
Tuesday: 25 cars
Wednesday: 27 cars
Thursday: 10 cars
Friday: 10 cars
Saturday: 5 cars
Sunday: 5 cars

Total: 105 cars

Explanation:

We know that on Monday, there are 20% fewer cars than on Tuesday, so we can expect 75% of the Tuesday traffic, which is 25 cars.
On Wednesday, there are 2 more cars than on Monday, so we add 2 to the Monday total, which gives us 27 cars.
On Thursday and Friday, there are 10 cars each day, so we add those totals together to get 20 cars.
On the weekend, there are 5 cars each day, so we add those totals together to get 25 cars.
Adding all of these totals together gives us a total of 105 cars traveling down Happy Street from Monday through Sunday.","The final answer is:

With a confidence level of 90%

Monday: 20 cars
Tuesday: 25 cars
Wednesday: 27 cars
Thursday: 10 cars
Friday: 10 cars
Saturday: 5 cars
Sunday: 5 cars

Total: 105 cars

Explanation:

We know that on Monday, there are 20% fewer cars than on Tuesday, so we can expect 75% of the Tuesday traffic, which is 25 cars.
On Wednesday, there are 2 more cars than on Monday, so we add 2 to the Monday total, which gives us 27 cars.
On Thursday and Friday, there are 10 cars each day, so we add those totals together to get 20 cars.
On the weekend, there are 5 cars each day, so we add those totals together to get 25 cars.
Adding all of these totals together gives us a total of 105 cars traveling down Happy Street from Monday through Sunday.",97,"{""final answer"": null, ""confidence"": ""90""}"
109,"Alyssa, Keely, and Kendall ordered 100 chicken nuggets from a fast-food restaurant. Keely and Kendall each ate twice as many as Alyssa. How many did Alyssa eat?","  The final answer is:

Alyssa ate 40 chicken nuggets.

With a confidence level of 80% (the numerical value is 80).","The final answer is:

Alyssa ate 40 chicken nuggets.

With a confidence level of 80% (the numerical value is 80).",20,"{""final answer"": null, ""confidence"": ""80""}"
114,"Ed has 2 dogs, 3 cats and twice as many fish as cats and dogs combined. How many pets does Ed have in total?","  The final answer is:

With a confidence level of 95%

Ed has a total of 20 pets (2 dogs + 3 cats + 2 x (cats + dogs) fish).","The final answer is:

With a confidence level of 95%

Ed has a total of 20 pets (2 dogs + 3 cats + 2 x (cats + dogs) fish).",15,"{""final answer"": null, ""confidence"": ""95""}"
115,"There are some jelly beans in a jar. Three fourths of the jelly beans are red, and one quarter of the red jelly beans are coconut flavored. If 750 jelly beans are coconut flavored, how many jelly beans are there in the jar?","  The final answer is:

With a confidence level of 90% (i.e., 90/100).","The final answer is:

With a confidence level of 90% (i.e., 90/100).",4000,"{""final answer"": null, ""confidence"": ""90""}"
126,"John has five more roommates than twice as many as Bob. If Bob has 10 roommates, how many roommates does John have?","  The final answer is:

John has 15 roommates.

With a confidence level of 90% (confidence level of 90-100%).","The final answer is:

John has 15 roommates.

With a confidence level of 90% (confidence level of 90-100%).",25,"{""final answer"": null, ""confidence"": ""90""}"
141,Larry spends half an hour twice a day walking and playing with his dog. He also spends a fifth of an hour every day feeding his dog. How many minutes does Larry spend on his dog each day?,"  The final answer is:

With a confidence level of 90%

Larry spends a total of 105 minutes on his dog each day.","The final answer is:

With a confidence level of 90%

Larry spends a total of 105 minutes on his dog each day.",72,"{""final answer"": null, ""confidence"": ""90""}"
147,"Mary has 5 green crayons and 8 blue crayons of different shades. If she gives out 3 green crayons and 1 blue crayon to Becky, how many crayons does she have left?","  The final answer is:

Mary has 2 green crayons and 7 blue crayons left, with a confidence level of 90% (confidence level of 90).","The final answer is:

Mary has 2 green crayons and 7 blue crayons left, with a confidence level of 90% (confidence level of 90).",9,"{""final answer"": null, ""confidence"": ""90""}"
172,Kyle bought 2 glass bottles that can hold 15 origami stars each. He then bought another 3 identical glass bottles. How many stars must Kyle make to fill all the glass bottles he bought?,"  The final answer is:

With a confidence level of 95%

Kyle must make 45 origami stars to fill all the glass bottles he bought.","The final answer is:

With a confidence level of 95%

Kyle must make 45 origami stars to fill all the glass bottles he bought.",75,"{""final answer"": null, ""confidence"": ""95""}"
179,Colton had 72 dolphin stickers. He gave 4 stickers each to 3 friends.  He also gave his friend Mandy 2 more than he gave his three friends total.   And he gave Justin 10 less than Mandy.  How many stickers does Colton have left?,"  The final answer is:

With a confidence level of 90%

Colton has 60 dolphin stickers left.","The final answer is:

With a confidence level of 90%

Colton has 60 dolphin stickers left.",42,"{""final answer"": null, ""confidence"": ""90""}"
191,"In a section of the forest, there are 100 weasels and 50 rabbits. Three foxes invade this region and hunt the rodents. Each fox catches an average of 4 weasels and 2 rabbits per week. How many rabbits and weasels will be left after 3 weeks?","  The final answer is:

With a confidence level of 90%

After 3 weeks, there will be:

* 60 rabbits left (50 original rabbits + 10 rabbits that were not caught by the foxes)
* 60 weasels left (100 original weasels - 40 weasels that were caught by the foxes)","The final answer is:

With a confidence level of 90%

After 3 weeks, there will be:

* 60 rabbits left (50 original rabbits + 10 rabbits that were not caught by the foxes)
* 60 weasels left (100 original weasels - 40 weasels that were caught by the foxes)",96,"{""final answer"": null, ""confidence"": ""90""}"
193,"Melody planted sunflowers from two different seed packets. She found that the sunflowers from Packet A were 20% taller than the sunflowers from Packet B. If the sunflowers from Packet A were 192 inches tall, how tall were the sunflowers from Packet B?","  The final answer is:

With a confidence level of 90% (the numerical number in the range of 0-100%)","The final answer is:

With a confidence level of 90% (the numerical number in the range of 0-100%)",160,"{""final answer"": null, ""confidence"": ""90""}"
