confidence,predicted label,ground truth,correct
0.95,9.68,10,False
0.85,115,5,False
0.8,42,42,True
0.95,160,624,False
0.9,18,35,False
0.95,48,48,True
0.95,24,16,False
0.95,119,41,False
0.95,1170.00,990,False
0.95,847,121,False
0.95,28,5,False
0.95,35,85,False
0.95,11.50,35,False
0.95,48,5,False
0.95,18,448000,False
0.95,1466.67,800,False
0.95,34,43,False
0.95,8,16,False
0.9,31,16,False
0.8,33,38,False
0.95,432,1080,False
0.95,8,7,False
0.8,18,5,False
0.8,62,62,True
0.8,65,110,False
0.95,400,400,True
0.9,574,400,False
0.8,-32,8,False
0.8,900,1000,False
0.9,5,6,False
1.0,1000,1200,False
0.95,15,10,False
0.95,34,34,True
0.95,3500,5250,False
0.9,12,36,False
0.8,30,15,False
0.95,24.80,5,False
0.95,72,9,False
0.95,840,15,False
0.95,620,476,False
0.95,500,500,True
0.95,13,99,False
0.95,38,60,False
0.8,300,300,True
0.95,86,99,False
0.8,180,1920,False
0.95,42,15,False
0.9,12,10,False
0.8,36,48,False
0.9,18,5,False
0.95,32,160,False
0.95,100,5,False
0.95,36,36,True
0.95,14,11,False
0.95,50,75,False
0.8,15,45,False
1.0,0,2,False
0.95,304,320,False
0.95,35,120,False
0.95,80,96,False
0.8,500,200,False
0.95,6,15,False
0.8,9,59,False
0.95,420,840,False
0.95,528,558,False
0.95,3987,520,False
0.95,70,6,False
0.95,130,90,False
0.95,49,49,True
0.95,19,19,True
0.8,25,25,True
0.95,105,54,False
0.8,4,3,False
0.8,20,28,False
0.9,2,15,False
0.95,768,768,True
0.85,85,85,True
0.95,72,4,False
0.9,10,70,False
0.8,300,100,False
0.8,12,14,False
0.95,850,700,False
0.95,22,54,False
0.95,90,90,True
0.8,9,5,False
0.95,6,6,True
0.95,1800,600,False
0.9,9,258,False
0.95,480,216,False
0.95,22,90,False
0.9,18,10,False
0.95,1825,1825,True
0.95,8000,14000,False
0.8,1,60,False
0.95,8,64,False
0.95,127,126,False
0.95,18,3,False
0.8,9,15,False
0.95,4,36,False
0.8,25,25,True
0.95,536,258,False
0.95,96,96,True
0.95,180,320,False
0.9,50,50,True
0.95,65,97,False
0.95,3320,41,False
0.9,33,20,False
0.95,210,140,False
0.8,6,6,True
0.8,620,920,False
0.95,40,60,False
0.95,13,15,False
0.95,2250,4000,False
0.95,16,21,False
0.95,26,16,False
0.8,12,13,False
0.8,140,140,True
0.95,720,720,True
1.0,24,6,False
0.95,16,48,False
0.95,0.50,25,False
0.95,54,18,False
0.95,30,50,False
0.8,15,25,False
0.8,55,55,True
0.95,59,6,False
1.0,8,10,False
0.95,55,55,True
0.95,420,500,False
0.95,110,110,True
0.95,49,9,False
0.95,74,74,True
0.8,2650,2350,False
0.8,6,20,False
0.95,0.86,6,False
0.9,11,8,False
0.95,24,24,True
0.9,112,148,False
0.95,1,72,False
0.95,70,30,False
0.8,12,45,False
0.95,3,8,False
0.95,120,2,False
0.8,21,136,False
0.95,2,9,False
0.95,35,35,True
0.95,8,4,False
0.95,128,3,False
0.8,172,283,False
0.95,44,44,True
0.95,75,135,False
1.0,1000,720,False
0.8,480,160,False
0.95,21,21,True
1.0,30,10,False
0.95,144,6,False
0.9,27,27,True
0.95,900,295,False
0.9,8,4,False
0.95,1330,2290,False
0.95,240,72,False
0.95,32,32,True
0.95,13,6,False
0.95,36,9,False
0.95,61,1920,False
0.95,45,54,False
0.95,18,216,False
0.95,21,21,True
0.95,6,24,False
0.95,495,75,False
0.95,2,18,False
0.8,35,35,True
0.95,50,58,False
0.95,2,2,True
0.95,11000,11000,True
0.95,35.60,23,False
0.95,4,42,False
0.9,480,360,False
0.95,133,21,False
0.95,200,230,False
0.8,160,349,False
0.95,4000,3750,False
0.8,6,4,False
1.0,76,50,False
0.95,96,70,False
0.9,8,10,False
0.95,1424,48,False
0.8,20,46,False
0.95,88,96,False
0.95,446.67,670,False
0.8,153,160,False
0.95,324,322,False
0.95,170,30,False
0.8,16,24,False
0.95,34,30,False
0.95,600,150,False
0.8,27,195,False
0.95,14,10,False
0.95,240,240,True
0.8,25,4,False
0.95,600,160,False
0.95,135,135,True
0.95,-100,100,False
0.95,288,72,False
0.8,-200,200,False
0.8,-32,80,False
0.95,54,54,True
0.8,1900,7200,False
0.8,6,18,False
0.95,72,24,False
1.0,40,30,False
0.95,8,96,False
0.8,8,350,False
0.8,11,11,True
0.95,11992,52,False
0.95,50,50,True
0.8,99,59,False
0.95,4,2,False
0.8,255,20655,False
0.95,96,76,False
0.95,121,91,False
0.95,80,20,False
0.95,20,40,False
0.95,18.75,15,False
0.95,120,60,False
0.95,14,7,False
0.95,37,8,False
0.8,3,40,False
0.95,0.75,8,False
0.95,30,45,False
0.8,1700,825,False
0.95,370,220,False
1.0,12,7,False
0.95,0.65,3,False
0.95,18,18,True
0.95,72,12,False
0.9,34,36,False
0.95,7,7,True
