index,question,answer,provided answer,expected true answer,response details
56,"An owner operated a successful retail business. He decided he wanted to retire and listed his business for sale. A buyer saw the listing and visited the retail business. The buyer told the owner that she was very interested in buying the business, but that she needed to get a loan from the bank to finance the purchase. The parties drafted a contract, signed by both parties, which stated that the buyer agreed to purchase the retail business from the owner for $250,000. The written agreement contained a provision wherein the sale would not take effect ""unless the buyer is successful in her bid to obtain a loan from a bank to finance the purchase of the business. "" Subsequently, the buyer made no effort to attempt to obtain a loan from a bank so that the sale could be finalized. After several months, the owner filed suit against the buyer for breach of contract. Which of the following will be the owner's strongest argument in support of his action against the buyer for breach of contract?
Choices:
0. The obtaining of a loan from a bank was not worded as a ""condition"" to the buyer's duty to buy the business.
1. Although obtaining a loan from a bank was a condition to the buyer's duty to buy the business, the condition should be excused because its non-occurrence would cause a forfeiture to the owner.
2. Although obtaining a loan from a bank was a condition to the buyer's duty to buy the business, it should be stricken from the contract because it is an unconscionable term.
3. The buyer breached an implied promise to make a reasonable effort to obtain a loan from a bank.",The final answer is [1] with a confidence level of [75%].,The final answer is [1] with a confidence level of [75%].,3,"{""final answer"": ""1"", ""confidence"": null}"
329,"A buyer wants to know his rights as purchaser of goods under the U.C.C. She received a shipment of nonconforming goods from a seller with whom her she does business. Assuming the client does not want to accept and pay for nonconforming goods, which of the following is appropriate advice?
Choices:
0. Hold onto the goods and make the best of them because a business cannot reject goods already approved by a written agreement signed by both parties.
1. Try the goods out for several months; if they are not going to be satisfactory, then ship them back to the seller who must provide a refund.
2. Notify the buyer of the nonconformity and demand a refund while holding onto the nonconforming goods as long as possible.
3. Identify and document the nonconformity, then send the goods back right away.",The final answer is [3] with a confidence level of [95%].,The final answer is [3] with a confidence level of [95%].,3,"{""final answer"": ""3"", ""confidence"": null}"
333,"At trial in an action for personal injuries suffered in a traffic accident, the plaintiff first calls the defendant as an adverse party. The plaintiff then calls a witness who was a passenger in the plaintiff's car but who also happens to be the defendant's former employer. On direct examination, the witness testifies to how the accident occurred and also expresses his opinion that the defendant is not a truthful person. Which one of the following areas of questioning is most likely to be held beyond the proper scope of cross-examination?
Choices:
0. In letters to prospective employers, the witness has described the defendant as very honest and dependable.
1. The defendant recently filed an action against the witness for breach of contract.
2. The plaintiff's injuries were not as serious as the plaintiff is claiming.
3. The witness has been falsifying his income tax returns.",The final answer is [3] with a confidence level of [90%].,The final answer is [3] with a confidence level of [90%].,2,"{""final answer"": ""3"", ""confidence"": null}"
359,"A rancher is the owner of a ranch situated upon the top of a mountain. Located below the ranch is a 40-acre farm that is owned by a farmer. There is a stream, which is a non-navigable watercourse, that originates at the top of the mountain and runs all the way down into the valley below. Both the ranch and the farm are within the watershed of the stream. When the farmer purchased the farm in 1974, he began taking water from the stream and used it to irrigate the southern half of his property which he has used as a farm. Prior to 1974, the southern half of the farm had been cleared and placed in cultivation, while the northern half remained wooded and unused except for an occasional hike or gathering of timber for use as domestic fuel. The farmer continued this established pattern of use. Now (January 2010), he is still taking water from the stream and using it to irrigate the southern half of the farm. In 2008, the rancher built a home on the ranch and began taking water from the stream for domestic purposes. During that year there was heavy rainfall, and this caused the stream to run down the mountain at a high water level. The next year, however, there was a drought. As a result, the stream flowed at a very low level. Consequently, there was only enough water to irrigate the farmer's farmland or, in the alternative, to supply all of the rancher's domestic water needs and one quarter of the farmer's irrigation requirements. The mountain is located in a jurisdiction where the period of prescription is 15 years. Inasmuch as the stream is still flowing at a very low level and the rancher is continuing to take water for his personal needs, there is insufficient water to irrigate the farm. As a consequence, the farmer brings an appropriate action to declare that his water rights to the stream are superior to those of the rancher. In addition, the farmer moves to have the full flow of the stream passed to him, notwithstanding the effect it might have on the rancher. If this state follows the doctrine of prior appropriation, judgment should be for whom?
Choices:
0. The rancher, because as an upstream landowner, he would have superior rights to the water than a downstream owner.
1. The rancher, because domestic use is superior to and protected against an agricultural use.
2. The farmer, because he has obtained an easement by prescription to remove as much water as he may need.
3. The farmer, because he has put the water to a beneficial use prior to the rancher's use and has continuously used the water.",The answer is 3 with a confidence level of 80%.,The answer is 3 with a confidence level of 80%.,3,"{""final answer"": null, ""confidence"": ""80""}"
360,"A man outraged by the recent church decision to clear a famous philosopher of charges of heresy, decided to present a lecture, open to the public, disproving the philosopher's theories. A state statute provides that: ""state universities can permit the use of their lecture halls to the public for worthwhile programs of public benefit, upon approval of the school board. ""The appropriate school board refused to make a university lecture hall available to the man on the grounds that the proposed lecture was not of worthwhile benefit to the public. As a result, the man brought suit in a state court against the school board and requested injunctive relief requiring the board to allow him the use of the lecture hall. The trial court denied relief and dismissed the suit. The judgment was affirmed by the state appellate court, and is now before the U. S. Supreme Court. In analyzing the state statute, which of the following statements is least accurate?
Choices:
0. The statute is unconstitutionally overbroad, because it may result in the exclusion of protected speech as well as unprotected speech.
1. The statute, as applied to the man, does not violate his First Amendment rights because his proposed speech is not political and, therefore, not among the classes of speech that are protected.
2. Indirect speech, regulations are only permissible if necessary to serve compelling state interests.
3. The statute is a prior restraint on speech, which unconstitutionally vests unfettered discretion in the school board to decide who may use university lecture halls.",The final answer is [1] with a confidence level of [80%].,The final answer is [1] with a confidence level of [80%].,1,"{""final answer"": ""1"", ""confidence"": null}"
394,"Fernandez is planning to attend an auction of the assets of Cross & Black, one of his major competitors who is liquidating. In the conduct of the auction, which of the following rules applies?
Choices:
0. Such a sale is without reserve unless the goods are explicitly put up with reserve.
1. A bidder may retract his bid at any time until the falling of the hammer.
2. The retraction of a bid by a bidder revives the previous bid.
3. If the auction is without reserve, the auctioneer can withdraw the article at any time prior to the fall of the hammer.",The final answer is [0] with a confidence level of [90%].,The final answer is [0] with a confidence level of [90%].,1,"{""final answer"": ""0"", ""confidence"": null}"
415,"A state on the eastern seaboard has a long stretch of scenic, ecologically unique, and relatively unspoiled seacoast. Most of the coastline is privately owned by persons who have permanent or vacation residences on their coastal lands. A man purchased a two-acre tract of littoral (i. e. , coastal) land in the state. When the man bought the property, there was a narrow concrete walkway (about 20 feet in length and 5 feet in width) adjoining the land. The walkway, which was designed to provide pedestrian access to the beach, was owned by the State Coastal Commission. When the man moved into his beach house, he noticed that the walkway was rarely used. As a result, the man decided to enclose the walkway and construct a paddle ball court over the entire area. He did so without notifying the State Coastal Commission. He has continued to use this area in excess of the period required for adverse possession. In an appropriate action brought by the man to establish title to the walkway area, which of the following must he establish if he is to prevail?
Choices:
0. Real property interests can be abandoned by a governmental entity without an official vote.
1. Lack of use of the walkway by the state created an irrevocable license in him.
2. Real property interests can be lost by a state by adverse possession.
3. Due to a defect in the chain of title, the state does not own this piece of land.",The final answer is [1] with a confidence level of [70%].,The final answer is [1] with a confidence level of [70%].,3,"{""final answer"": ""1"", ""confidence"": null}"
464,"A pedestrian was walking down the sidewalk past a building that was being painted. A ladder used by the painters fell and struck the pedestrian, causing an injury to his shoulder. In an action by the pedestrian against the painting company based on the theory of negligence, which of the following is the most accurate statement regarding the burden of proof?
Choices:
0. The pedestrian must prove beyond all reasonable doubt that the painting company was negligent.
1. The pedestrian must prove by a preponderance of the evidence that the painting company was negligent.
2. The painting company must prove by a preponderance of the evidence that it was not negligent.
3. There is a rebuttal presumption of negligence on the part of the painting company under the doctrine of res ipsa loquitur.","The final answer is [1] with a confidence level of [90%]. In most cases of negligence, the plaintiff must prove by a preponderance of the evidence that the defendant was negligent. This means that it is more likely than not that the defendant was negligent.","The final answer is [1] with a confidence level of [90%]. In most cases of negligence, the plaintiff must prove by a preponderance of the evidence that the defendant was negligent. This means that it is more likely than not that the defendant was negligent.",1,"{""final answer"": ""1"", ""confidence"": null}"
523,"A condominium development consists of two buildings, one with balconies attached to each unit, and one withno balconies. For safety concerns, the condominium association amended the covenants and restrictions toprohibit future sales of balcony units to families with minor children. The amendment did not affect families withchildren already living in balcony units. The amendment was promptly recorded. The condominium associationhad a valid covenant providing that all sales had to be approved by the association. Subsequent to the effective date of the amendment, the owner of a balcony unit contracted to sell it to a familywith minor children. Before the closing, the association told the buyers that because they had minor children,they could not buy the unit. The association further told the buyers that numerous units were available in thebuilding without balconies. After receiving this notification, the buyers complained to a fair housing agency, claiming that the amendmentwas unenforceable because it violated federal fair housing laws. Is there reasonable cause to believe that a violation has occurred?
Choices:
0. No, because families with children are allowed to purchase units in the building without balconies.
1. No, because the amendment is based on legitimate safety issues.
2. Yes, because families with children are already living in units with balconies.
3. Yes, because families with children cannot be segregated within the condominium development.","The final answer is 2, based on the legitimate safety issues with balcony units. The confidence level is 90%.","The final answer is 2, based on the legitimate safety issues with balcony units. The confidence level is 90%.",3,"{""final answer"": ""2"", ""confidence"": null}"
681,"Billy was charged with grand theft. The trial began on a Thursday afternoon. The jury was empaneled, sworn and released for the day. Since Friday was the Fourth of July, the judge asked the jurors to return on Monday. The trial began again on Monday morning at 8:30. By late evening the judge had instructed the jury. Due to the lateness of the hour, the jurors were sequestered for the evening to allow them to get an early start the next morning. The jurors returned Tuesday morning and were unable to reach a verdict. Unable to reach a verdict, the trial judge allowed the jurors to go home that evening. On Wednesday morning, the jury assembled and returned a verdict of guilty. On appeal, which of the following is Billy's strongest issue for seeking a reversal?
Choices:
0. The fact that the jurors did not begin to consider evidence until several days after they were empaneled.
1. The fact that the jury was allowed to go home after being sworn.
2. The fact that the jury took several days to return a verdict.
3. The fact that the jury was allowed to go home after they began deliberations.",The final answer is [0] with a confidence level of [70%].,The final answer is [0] with a confidence level of [70%].,3,"{""final answer"": ""0"", ""confidence"": null}"
