LLaMA 2 ; GSM8K,C2,C7,C3,C6,C5,C4,C8,C9
method,ece,acc,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
few shot cot,0.6956109589041097,0.2191780821917808,0.4925251644736843,0.7748582604483273,0.21793314359123941,0.21793314359123941,0.21793314359123941,0.7748582604483273
multi step,0.6738149939540508,0.17503022974607013,0.5367211445416751,0.8445324729265227,0.1905304901029094,0.1905304901029094,0.1905304901029094,0.8445324729265227
vanilla,0.8131495058973541,0.08017213898629263,0.502841726284125,0.9197629974607296,0.08091905103415693,0.08091905103415693,0.08091905103415693,0.9197629974607296
zero shot cot,0.6881630153762418,0.2035651108994421,0.5067186396482083,0.7986518667510374,0.2059077807182872,0.2059077807182872,0.2059077807182872,0.7986518667510374
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LLaMA 2 ; Common,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
method,acc,ece,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
few shot cot,0.3715767634854772,0.47698547717846884,0.6116982836120369,0.6993006124644386,0.44694085942325484,0.44694085942325484,0.44694085942325484,0.6993006124644386
vanilla,0.3931063649820258,0.44172129414260297,0.5579552951738693,0.6369669111269541,0.42661571759562905,0.42661571759562905,0.42661571759562905,0.6369669111269541
zero shot cot,0.4748993857233637,0.34367824613434994,0.5627841666609691,0.5671740317322455,0.5115354738877157,0.5115354738877157,0.5115354738877157,0.5671740317322455
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LLaMA 2 ; Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
method,acc,ece,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
few shot cot,0.28005759539236863,0.6432469402447806,0.47656683804627253,0.7108883861745449,0.2710178622502192,0.2710178622502192,0.2710178622502192,0.7108883861745449
multi step,0.28005759539236863,0.6432469402447806,0.47656683804627253,0.7108883861745449,0.2710178622502192,0.2710178622502192,0.2710178622502192,0.7108883861745449
vanilla,0.32245681381957775,0.49193857965451065,0.5206478483744773,0.6868938255899286,0.33215927608442,0.33215927608442,0.33215927608442,0.6868938255899286
zero shot cot,0.34279918864097364,0.4791751183231912,0.4862389509825408,0.6517218937153182,0.3366555536888032,0.3366555536888032,0.3366555536888032,0.6517218937153182
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LlaMA 2; Date,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fill with null values,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GPT-3.5 ; GSM8K,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
method,acc,ece,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
few shot cot,0.7961726746773475,0.17091826138550953,0.5710988142807046,0.24588183070573846,0.8206793614492062,0.8206793614492062,0.8206793614492062,0.24588183070573846
multi step,0.7790121603362858,0.20848220987839605,0.5744528690499132,0.28888268625591373,0.8061217444909201,0.8061217444909201,0.8061217444909201,0.28888268625591373
vanilla,0.7094544919864726,0.28581679164828644,0.5551608944641396,0.34116758774990774,0.7331107379784072,0.7331107379784072,0.7331107379784072,0.34116758774990774
zero shot cot,0.7846563981042654,0.21266291469194304,0.5210855307055736,0.2384915892630353,0.7918632601141878,0.7918632601141878,0.7918632601141878,0.2384915892630353
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GPT 3.5; Common,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
method,acc,ece,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
few shot cot,0.7199618183987591,0.21273356401384064,0.6069173208091232,0.34818426923729245,0.7703664298365532,0.7703664298365532,0.7703664298365532,0.34818426923729245
multi step,0.7108878711774265,0.16368887575712812,0.5838380543276454,0.3396740329670374,0.7587922671364208,0.7587922671364208,0.7587922671364208,0.3396740329670374
vanilla,0.7477477477477478,0.21768452663189503,0.5444025806431108,0.285429501535849,0.764575878047717,0.764575878047717,0.764575878047717,0.285429501535849
zero shot cot,0.7374376039933445,0.22523294509151415,0.5529874332541764,0.30586015221864976,0.758921030509366,0.758921030509366,0.758921030509366,0.30586015221864976
,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GPT 3.5 Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
method,acc,ece,auroc,auprc_n,auprc_p,auprc,auprd-p,auprc-n
vanilla,0.49170872386445563,0.401939437635184,0.5187454503858073,0.5235887223962201,0.5010341229582634,0.5010341229582634,0.5010341229582634,0.5235887223962201
few shot cot,0.4809763101220388,0.4094615936826993,0.5273920852170682,0.5350210341516105,0.4990150163662006,0.4990150163662006,0.4990150163662006,0.5350210341516105
