index,question,answer,predicted label,ground truth,confidence,correct
1,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","  The final answer is:

$12 x 50 minutes = $600

with a confidence level of 95% (100-85).",12,10,0.95,False
2,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","  The final answer is:

$85

with a confidence level of 85%

Explanation:
Betty has $15 from her parents, which is half of the $100 needed for the wallet. Her grandparents gave her twice as much as her parents, which is $60 ($15 x 2 = $30). So, the total amount Betty has is $15 + $30 = $45. To find out how much more money Betty needs, we subtract the amount she has ($45) from the original amount needed ($100): $100 - $45 = $55. Therefore, Betty needs $55 more to buy the wallet.",85,5,0.85,False
3,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","  The final answer is: 60 pages

with a confidence level of 80%",60,42,0.8,False
4,James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"  The final answer is:

3 x 52 = 160 pages

with a confidence level of 95% (i.e., 95 out of 100).",3,624,0.95,False
6,"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","  The final answer is: 32 slices
with a confidence level of 90% (100-10=90)",32,48,0.9,False
7,"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","  The final answer is:

20 pounds

with a confidence level of 95% (85-100%)",20,16,0.95,False
8,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","  The final answer is: $X (where X represents the unknown amount)
with a confidence level of 80% (range of 0-100%)

To solve this problem, we need to use the information provided in the question:

* Alexis spent a total of $30 + $46 + $38 + $11 + $18 = $141
* She has $16 left from her budget
* She lost the receipt for the shoes

From the information provided, we can deduce that the total amount Alexis paid for the shoes is:

$141 - $16 = $X

Therefore, the answer is $X, with a confidence level of 80% (range of 0-100%).",80,41,0.8,False
9,"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","  The final answer is:

$18.00 + ($18.00 x 1.5) = $32.00

with a confidence level of 95% (80%)",18,990,0.95,False
11,"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?","  The final answer is:

$15 (change) / $15 (mowing lawns) = 1 driveway

with a confidence level of 85% (15/100).",15,5,0.85,False
12,Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,"  The final answer is:

60 mango trees

with a confidence level of 90% (confidence level of 83-97%)",60,85,0.9,False
13,"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","  The final answer is:

$10

with a confidence level of 90%",10,35,0.9,False
14,Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?,"  The final answer is:

10 hours

with a confidence level of 80%",10,5,0.8,False
15,James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,"  The final answer is:

With a confidence level of 95%

To calculate the profit, we need to consider the costs and revenues involved:

Costs:

* Movie creation cost = $2000
* DVD cost per unit = $6
* Total cost of 500 movies = $3000 (500 x $6)

Revenues:

* Selling price of each movie = 2.5 x cost = $1500 (500 x $3)
* Total revenue from selling 500 movies per day = $750,000 (500 x $1500)

Profit:

Profit = Revenue - Costs = $750,000 - $3000 = $720,000

Therefore, James makes a profit of $720,000 in 20 weeks.",720,448000,0.95,False
16,"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?","  The final answer is:

Mike: $1000 (with a confidence level of 80%)

Explanation:

The problem states that the profit is shared among the two partners in the ratio of 2:5, respectively. This means that Mike will receive 2/7 of the profit, and Johnson will receive 5/7 of the profit.

The problem also states that Johnson received $2500. To find out how much Mike received, we can subtract the amount Johnson received from the total profit.

Total profit = $2500 + $2500 = $5000

Now, we can divide the total profit by the ratio of the partners' shares:

Mike's share = $5000 / 2/7 = $1000

Therefore, Mike will receive $1000 after spending some of his share on a shirt that costs $200.",1000,800,0.8,False
